mean_answer_step,confidence_prob
2.2352941036224365,0.9
1.7132352590560913,0.9
2.308823585510254,0.9
2.2058823108673096,0.9
2.066176414489746,0.9
1.9926470518112183,0.9
2.2279412746429443,0.9
1.9632352590560913,0.9
2.0808823108673096,0.9
1.9117647409439087,0.9
1.9191176891326904,0.9
1.8014706373214722,0.9
2.3308823108673096,0.9
2.183823585510254,0.9
2.1102941036224365,0.9
1.75,0.9
2.191176414489746,0.9
1.941176414489746,0.9
2.367647171020508,0.9
1.470588207244873,0.9
1.970588207244873,0.9
1.6323529481887817,0.9
1.8602941036224365,0.9
1.9926470518112183,0.9
2.0735294818878174,0.9
2.279411792755127,0.9
2.4264705181121826,0.9
2.4779412746429443,0.9
2.279411792755127,0.9
2.2647058963775635,0.9
2.2058823108673096,0.9
2.0220587253570557,0.9
2.0,0.9
2.279411792755127,0.9
1.970588207244873,0.9
2.036764621734619,0.9
1.808823585510254,0.9
2.2352941036224365,0.9
2.0808823108673096,0.9
2.154411792755127,0.9
2.1029412746429443,0.9
1.9117647409439087,0.9
2.007352828979492,0.9
2.1764705181121826,0.9
2.308823585510254,0.9
2.154411792755127,0.9
2.0441176891326904,0.9
2.4191176891326904,0.9
2.154411792755127,0.9
2.367647171020508,0.9
2.125,0.9
2.2279412746429443,0.9
1.904411792755127,0.9
2.029411792755127,0.9
1.9852941036224365,0.9
2.1470587253570557,0.9
2.308823585510254,0.9
1.75,0.9
2.2058823108673096,0.9
2.2279412746429443,0.9
2.029411792755127,0.9
2.1764705181121826,0.9
2.1029412746429443,0.9
2.5147058963775635,0.9
1.7132352590560913,0.9
2.0441176891326904,0.9
1.9264706373214722,0.9
2.154411792755127,0.9
1.683823585510254,0.9
2.4558823108673096,0.9
2.529411792755127,0.9
2.1764705181121826,0.9
2.088235378265381,0.9
2.1985294818878174,0.9
2.3602941036224365,0.9
2.161764621734619,0.9
2.5808823108673096,0.9
1.970588207244873,0.9
1.6102941036224365,0.9
2.4485294818878174,0.9
2.632352828979492,0.9
2.2720587253570557,0.9
1.6985293626785278,0.9
2.375,0.9
2.029411792755127,0.9
1.8529411554336548,0.9
2.191176414489746,0.9
2.286764621734619,0.9
1.904411792755127,0.9
1.9926470518112183,0.9
2.1397058963775635,0.9
2.4191176891326904,0.9
2.257352828979492,0.9
1.970588207244873,0.9
1.7058823108673096,0.9
2.242647171020508,0.9
2.5514705181121826,0.9
2.345588207244873,0.9
2.691176414489746,0.9
1.8529411554336548,0.9
