mean_answer_step,confidence_prob
1.8671875,0.9
1.52734375,0.9
1.296875,0.9
3.1640625,0.9
2.13671875,0.9
1.84375,0.9
1.8984375,0.9
1.6484375,0.9
2.26171875,0.9
1.4296875,0.9
2.2578125,0.9
1.80859375,0.9
1.765625,0.9
1.703125,0.9
2.11328125,0.9
2.11328125,0.9
1.97265625,0.9
2.3046875,0.9
1.62890625,0.9
1.23828125,0.9
1.7265625,0.9
1.33203125,0.9
2.33984375,0.9
1.5,0.9
1.77734375,0.9
1.48828125,0.9
2.65234375,0.9
1.53125,0.9
2.1015625,0.9
2.42578125,0.9
1.921875,0.9
1.33984375,0.9
2.62890625,0.9
2.203125,0.9
1.4140625,0.9
2.14453125,0.9
1.3984375,0.9
1.91015625,0.9
1.51953125,0.9
1.7734375,0.9
1.7265625,0.9
2.06640625,0.9
2.88671875,0.9
2.875,0.9
2.30859375,0.9
1.70703125,0.9
1.8046875,0.9
3.0,0.9
2.79296875,0.9
2.078125,0.9
1.9140625,0.9
0.671875,0.9
2.14453125,0.9
2.20703125,0.9
1.40234375,0.9
2.0234375,0.9
1.53125,0.9
2.046875,0.9
1.27734375,0.9
2.71484375,0.9
2.0703125,0.9
1.84765625,0.9
2.41796875,0.9
1.7890625,0.9
2.1328125,0.9
1.54296875,0.9
1.58203125,0.9
1.96484375,0.9
2.0703125,0.9
2.03515625,0.9
1.2578125,0.9
1.8828125,0.9
1.68359375,0.9
2.34375,0.9
1.546875,0.9
2.19921875,0.9
1.6640625,0.9
1.7109375,0.9
1.5078125,0.9
2.74609375,0.9
1.37890625,0.9
1.77734375,0.9
2.0390625,0.9
1.734375,0.9
2.0390625,0.9
2.04296875,0.9
2.34375,0.9
1.90234375,0.9
1.75,0.9
2.51171875,0.9
1.265625,0.9
1.26953125,0.9
1.6796875,0.9
2.390625,0.9
1.41796875,0.9
2.0859375,0.9
1.46484375,0.9
1.125,0.9
1.87890625,0.9
2.01953125,0.9
1.4453125,0.9
2.33984375,0.9
2.0,0.9
2.49609375,0.9
1.296875,0.9
1.68359375,0.9
1.72265625,0.9
2.578125,0.9
1.44140625,0.9
2.1015625,0.9
1.94921875,0.9
3.140625,0.9
2.17578125,0.9
1.4375,0.9
2.46484375,0.9
1.45703125,0.9
1.875,0.9
1.59765625,0.9
2.2421875,0.9
2.0,0.9
2.51953125,0.9
1.609375,0.9
1.66796875,0.9
1.27734375,0.9
1.60546875,0.9
2.6171875,0.9
2.27734375,0.9
2.17578125,0.9
2.01171875,0.9
2.40234375,0.9
1.55859375,0.9
2.07421875,0.9
2.21484375,0.9
1.91015625,0.9
1.59375,0.9
1.5078125,0.9
2.19921875,0.9
1.69140625,0.9
1.87109375,0.9
1.44921875,0.9
1.48828125,0.9
2.42578125,0.9
1.2578125,0.9
2.27734375,0.9
2.05078125,0.9
1.5625,0.9
1.8828125,0.9
2.3515625,0.9
1.5625,0.9
1.74609375,0.9
2.48828125,0.9
1.80859375,0.9
1.375,0.9
1.44140625,0.9
2.0546875,0.9
1.4140625,0.9
2.09765625,0.9
1.35546875,0.9
2.09375,0.9
2.6796875,0.9
1.24609375,0.9
1.8046875,0.9
2.27734375,0.9
1.8046875,0.9
2.0,0.9
1.8125,0.9
1.78515625,0.9
0.9609375,0.9
2.44921875,0.9
1.48046875,0.9
1.7734375,0.9
2.3515625,0.9
1.77734375,0.9
1.35546875,0.9
1.9140625,0.9
1.90234375,0.9
1.88671875,0.9
2.3046875,0.9
2.1171875,0.9
1.7265625,0.9
1.953125,0.9
1.09765625,0.9
1.953125,0.9
2.33203125,0.9
2.046875,0.9
2.2421875,0.9
1.9296875,0.9
2.41796875,0.9
2.24609375,0.9
1.8359375,0.9
2.203125,0.9
2.6171875,0.9
1.984375,0.9
1.9609375,0.9
1.73828125,0.9
2.6015625,0.9
2.2578125,0.9
3.22265625,0.9
2.265625,0.9
1.53125,0.9
2.890625,0.9
1.7734375,0.9
2.1484375,0.9
1.5234375,0.9
1.4921875,0.9
2.3359375,0.9
1.9296875,0.9
1.28515625,0.9
0.546875,0.9
2.01953125,0.9
1.83203125,0.9
2.30078125,0.9
2.2421875,0.9
1.93359375,0.9
1.7265625,0.9
1.6171875,0.9
2.66015625,0.9
2.609375,0.9
2.71484375,0.9
2.109375,0.9
2.37890625,0.9
1.515625,0.9
2.140625,0.9
1.8984375,0.9
1.43359375,0.9
1.81640625,0.9
1.046875,0.9
2.14453125,0.9
2.09765625,0.9
3.14453125,0.9
2.921875,0.9
1.671875,0.9
2.43359375,0.9
1.6328125,0.9
2.6953125,0.9
2.44921875,0.9
3.48828125,0.9
1.5078125,0.9
2.171875,0.9
1.703125,0.9
1.80078125,0.9
1.265625,0.9
2.64453125,0.9
2.05859375,0.9
1.640625,0.9
1.90625,0.9
1.89453125,0.9
1.71484375,0.9
2.98046875,0.9
2.0625,0.9
2.6171875,0.9
2.02734375,0.9
2.08203125,0.9
2.4296875,0.9
1.86328125,0.9
2.80859375,0.9
2.14453125,0.9
0.79296875,0.9
0.55859375,0.9
1.62890625,0.9
1.8203125,0.9
1.75390625,0.9
1.93359375,0.9
2.61328125,0.9
1.96484375,0.9
1.7109375,0.9
1.7109375,0.9
1.921875,0.9
1.8203125,0.9
2.3125,0.9
1.8984375,0.9
1.93359375,0.9
2.0,0.9
2.53125,0.9
2.7265625,0.9
1.50390625,0.9
0.94921875,0.9
1.85546875,0.9
2.16015625,0.9
1.8515625,0.9
1.80078125,0.9
2.63671875,0.9
1.984375,0.9
1.7734375,0.9
2.28125,0.9
2.7109375,0.9
2.04296875,0.9
1.7421875,0.9
2.34375,0.9
1.87890625,0.9
2.01953125,0.9
2.30859375,0.9
2.2421875,0.9
1.5078125,0.9
1.52734375,0.9
2.1640625,0.9
1.90625,0.9
2.51171875,0.9
1.84765625,0.9
1.4609375,0.9
1.26953125,0.8
1.62109375,0.8
1.48828125,0.8
1.8359375,0.8
1.171875,0.8
1.46484375,0.8
0.6328125,0.8
1.12890625,0.8
1.578125,0.8
1.03125,0.8
1.515625,0.8
0.5625,0.8
1.19921875,0.8
0.77734375,0.8
0.93359375,0.8
1.3828125,0.8
0.99609375,0.8
1.33984375,0.8
1.41015625,0.8
1.109375,0.8
1.02734375,0.8
0.75390625,0.8
1.73828125,0.8
2.1875,0.8
1.25,0.8
0.98046875,0.8
1.15234375,0.8
1.078125,0.8
1.39453125,0.8
1.3515625,0.8
0.96875,0.8
1.0234375,0.8
0.9296875,0.8
1.48046875,0.8
1.45703125,0.8
0.99609375,0.8
1.078125,0.8
1.1640625,0.8
0.796875,0.8
1.3828125,0.8
1.5234375,0.8
1.16796875,0.8
1.39453125,0.8
1.2109375,0.8
1.39453125,0.8
1.05859375,0.8
0.34375,0.8
1.01953125,0.8
1.5078125,0.8
0.65234375,0.8
1.23046875,0.8
0.92578125,0.8
1.33203125,0.8
0.9921875,0.8
1.609375,0.8
1.25,0.8
0.90234375,0.8
1.27734375,0.8
1.6171875,0.8
1.3125,0.8
1.00390625,0.8
1.3125,0.8
1.17578125,0.8
1.6484375,0.8
1.1015625,0.8
1.0,0.8
0.80859375,0.8
0.95703125,0.8
0.93359375,0.8
1.265625,0.8
1.71484375,0.8
1.34765625,0.8
1.1640625,0.8
0.84765625,0.8
1.51171875,0.8
1.0546875,0.8
1.14453125,0.8
1.953125,0.8
1.109375,0.8
1.93359375,0.8
0.59765625,0.8
1.2578125,0.8
0.74609375,0.8
1.48046875,0.8
0.49609375,0.8
1.4609375,0.8
1.25,0.8
1.18359375,0.8
1.2578125,0.8
1.421875,0.8
1.91796875,0.8
1.32421875,0.8
0.81640625,0.8
1.34375,0.8
1.8046875,0.8
1.421875,0.8
0.55859375,0.8
1.01171875,0.8
1.02734375,0.8
0.98828125,0.8
0.515625,0.8
1.16796875,0.8
0.9609375,0.8
1.05859375,0.8
0.91015625,0.8
1.34375,0.8
1.11328125,0.8
1.08203125,0.8
1.20703125,0.8
1.43359375,0.8
0.85546875,0.8
1.0,0.8
0.6171875,0.8
1.33203125,0.8
1.5859375,0.8
1.19140625,0.8
1.05078125,0.8
1.12890625,0.8
1.24609375,0.8
1.35546875,0.8
1.26953125,0.8
0.71875,0.8
1.4609375,0.8
0.9765625,0.8
1.0078125,0.8
1.30859375,0.8
1.27734375,0.8
1.1328125,0.8
0.92578125,0.8
0.38671875,0.8
0.70703125,0.8
1.0625,0.8
1.21875,0.8
0.4609375,0.8
0.3671875,0.8
2.87890625,0.8
0.8828125,0.8
1.5,0.8
1.38671875,0.8
0.953125,0.8
1.4609375,0.8
1.3359375,0.8
0.98046875,0.8
1.16015625,0.8
1.2109375,0.8
1.19140625,0.8
1.23046875,0.8
1.19140625,0.8
1.3125,0.8
1.01171875,0.8
1.390625,0.8
1.0703125,0.8
1.35546875,0.8
1.10546875,0.8
1.34765625,0.8
1.22265625,0.8
0.8671875,0.8
1.30859375,0.8
0.76171875,0.8
1.00390625,0.8
1.3359375,0.8
0.95703125,0.8
1.0625,0.8
1.49609375,0.8
0.828125,0.8
0.98046875,0.8
1.1875,0.8
1.23046875,0.8
1.91015625,0.8
