mean_answer_step,hidden_dimension
1.7132352590560913,24
1.5735293626785278,24
1.691176414489746,24
2.1029412746429443,24
2.0220587253570557,24
2.161764621734619,24
1.933823585510254,24
1.779411792755127,24
2.6985294818878174,24
2.5735294818878174,24
1.8235293626785278,24
1.8602941036224365,24
2.257352828979492,24
1.8970588445663452,24
2.125,24
2.036764621734619,24
3.242647171020508,24
2.242647171020508,24
1.845588207244873,24
2.2647058963775635,24
1.6323529481887817,24
2.507352828979492,24
1.6985293626785278,24
1.4264706373214722,24
1.5735293626785278,24
1.7426470518112183,24
1.9926470518112183,24
2.088235378265381,24
1.808823585510254,24
2.2647058963775635,24
2.4779412746429443,24
1.7867647409439087,24
1.9117647409439087,24
1.933823585510254,24
1.7720588445663452,24
2.117647171020508,24
1.4558823108673096,24
1.345588207244873,24
1.720588207244873,24
1.441176414489746,24
1.4926470518112183,24
1.6397058963775635,24
1.6470588445663452,24
1.4191176891326904,24
1.8897058963775635,24
1.6102941036224365,24
2.2058823108673096,24
2.6985294818878174,24
2.1029412746429443,24
1.9264706373214722,24
2.0441176891326904,24
1.875,24
1.5735293626785278,24
1.8014706373214722,24
1.904411792755127,24
1.558823585510254,24
2.0735294818878174,24
1.8970588445663452,24
1.3014706373214722,24
2.3014705181121826,24
2.875,24
2.4558823108673096,24
1.7867647409439087,24
1.8602941036224365,24
2.058823585510254,24
2.0808823108673096,24
2.375,24
1.1764706373214722,24
2.0441176891326904,24
2.6102941036224365,24
1.7941176891326904,24
1.1102941036224365,24
2.183823585510254,24
2.382352828979492,24
2.0147058963775635,24
2.3529412746429443,24
1.6102941036224365,24
1.933823585510254,24
2.1691176891326904,24
1.6691176891326904,24
2.058823585510254,24
1.6985293626785278,24
2.0808823108673096,24
2.0808823108673096,24
2.367647171020508,24
2.7941176891326904,24
1.5220588445663452,24
1.654411792755127,24
1.5808823108673096,24
2.367647171020508,24
2.338235378265381,24
2.0147058963775635,24
2.2647058963775635,24
2.213235378265381,24
1.720588207244873,24
2.6470587253570557,24
1.779411792755127,24
2.161764621734619,24
1.941176414489746,24
1.6176470518112183,24
2.3014705181121826,24
1.5882352590560913,24
2.036764621734619,24
2.132352828979492,24
1.6691176891326904,24
2.6764705181121826,24
2.029411792755127,24
1.9191176891326904,24
1.9926470518112183,24
2.382352828979492,24
1.4852941036224365,24
2.404411792755127,24
2.5,24
1.6029411554336548,24
2.066176414489746,24
2.3308823108673096,24
2.1764705181121826,24
1.4779411554336548,24
1.9485293626785278,24
1.6397058963775635,24
2.904411792755127,24
2.242647171020508,24
1.5882352590560913,24
1.558823585510254,24
2.1470587253570557,24
1.845588207244873,24
1.8382352590560913,24
1.8970588445663452,24
1.3529411554336548,24
1.6029411554336548,24
1.720588207244873,24
1.6102941036224365,24
2.2058823108673096,24
1.779411792755127,24
1.558823585510254,24
2.154411792755127,24
1.7058823108673096,24
2.3602941036224365,24
2.1470587253570557,24
2.4852941036224365,24
1.6617647409439087,24
1.9779411554336548,24
1.9264706373214722,24
1.9191176891326904,24
2.095588207244873,24
2.3970587253570557,24
1.4117647409439087,24
1.4117647409439087,24
1.9191176891326904,24
2.4264705181121826,24
2.2352941036224365,24
1.941176414489746,24
2.375,24
2.036764621734619,24
1.845588207244873,24
1.816176414489746,24
2.2279412746429443,24
1.8529411554336548,24
1.6617647409439087,24
1.933823585510254,24
1.4264706373214722,24
1.779411792755127,24
1.9264706373214722,24
1.9191176891326904,24
2.0147058963775635,24
2.470588207244873,24
1.8823529481887817,24
1.5147058963775635,24
1.808823585510254,24
1.375,24
1.8676470518112183,24
1.9926470518112183,24
1.558823585510254,24
1.9264706373214722,24
1.9558823108673096,24
1.9779411554336548,24
2.470588207244873,24
2.066176414489746,24
1.470588207244873,24
2.1470587253570557,24
1.2426470518112183,24
1.9191176891326904,24
2.2647058963775635,24
2.161764621734619,24
1.970588207244873,24
1.308823585510254,24
1.2647058963775635,24
2.161764621734619,24
1.595588207244873,24
2.2720587253570557,24
1.7132352590560913,24
1.3014706373214722,24
2.132352828979492,24
2.308823585510254,24
1.779411792755127,24
1.5514706373214722,24
2.058823585510254,24
2.661764621734619,24
1.779411792755127,24
1.8382352590560913,24
1.5735293626785278,24
2.0147058963775635,24
